"_created_at","_updated_at","_id","outlet_id","outlet_en","outlet_type","outlet_ar","year","value","key_indicator_id","key_indicator_en","key_indicator_ar","in_out"
1509081855303,1509081855303,"in_0",6,"MINA SULTAN QABOOS ","بحري","ميناء السطان قابوس   ",2010,5399457,1,"Live animals","حيوانات حية","in"
1509081855303,1509081855303,"in_1",6,"","بحري","ميناء السطان قابوس   ",2010,63228276,2,"Meat and edible meat offal","لحوم وأحشاء وأطراف صالحة للأكل","in"
1509081855303,1509081855303,"in_2",6,"","بحري","ميناء السطان قابوس   ",2010,2646740,3,"Fish and crustaceans, molluscs and other aquatic invertebrates","أسمـاك وقشـريـات ، رخويــات وغيرهـا مـن الـلافقريــات المـائـية","in"
1509081855303,1509081855303,"in_3",6,"","بحري","ميناء السطان قابوس   ",2010,99511306,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin,not elsewhere specified or included","ألبان ومنتجات صناعة الألبان ؛ بيض طيور ؛ عسل طبيعي ؛ منتجات صالحة للأكل من أصل حيواني ، غير مذكورة ولا داخلة في مكان آخر ","in"
1509081855303,1509081855303,"in_4",6,"","بحري","ميناء السطان قابوس   ",2010,17209,5,"Products of animal origin,not elsewhere specified or included ","منتجات أخر من أصل حيواني ، غير مذكورة ولا داخلة في مكان آخر ","in"
1509081855303,1509081855303,"in_5",6,"","بحري","ميناء السطان قابوس   ",2010,57366,6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage","اشجار ونباتات أخر حية ؛ بصيلات وبصلات وجذور وما شابهها ؛ ازهار مقطوفة واغصان مورقة للزينة","in"
1509081855303,1509081855303,"in_6",6,"","بحري","ميناء السطان قابوس   ",2010,17777837,7,"Edible vegetables and certain roots and tubers","خضر ونباتات وجذور ودرنات غذائية ، صالحة للأكل ","in"
1509081855303,1509081855303,"in_7",6,"","بحري","ميناء السطان قابوس   ",2010,14412030,8,"Edible fruit and nuts; peel of citrus fruit or melons","فواكه وأثمار صالحة للأكل ؛ قشور حمضيات وقشور بطيخ أو شمام ","in"
1509081855303,1509081855303,"in_8",6,"","بحري","ميناء السطان قابوس   ",2010,7703651,9,"Coffee, tea, mate and spices","بن وشاي ومته وبهارات وتوابل ","in"
1509081855303,1509081855303,"in_9",6,"","بحري","ميناء السطان قابوس   ",2010,53457612,10,"Cereals","حبوب","in"
